time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00232 0005 00409 -3802.36785 0.10000 1.00000 0 0 0
    0.00 00233 0005 00402 -3767.55853 0.10000 1.00000 0 0 0
    0.00 00234 0005 00391 -3727.89201 0.10000 1.00000 0 0 0
    0.00 00235 0005 00385 -3734.86178 0.10000 1.00000 0 0 0
    0.00 00236 0005 00393 -3767.66108 0.10000 1.00000 0 0 0
    0.00 00237 0005 00390 -3742.23684 0.10000 1.00000 0 0 0
    0.00 00238 0005 00385 -3741.66192 0.10000 1.00000 0 0 0
    0.00 00239 0005 00377 -3776.44404 0.10000 1.00000 0 0 0
    0.00 00240 0005 00379 -3767.98031 0.10000 1.00000 0 0 0
    0.00 00241 0005 00397 -3802.58702 0.10000 1.00000 0 0 0
    0.00 00242 0005 00379 -3713.37530 0.10000 1.00000 0 0 0
    0.00 00243 0005 00380 -3678.94751 0.10000 1.00000 0 0 0
    0.00 00244 0005 00371 -3711.35314 0.10000 1.00000 0 0 0
    0.00 00245 0005 00382 -3733.62075 0.10000 1.00000 0 0 0
    0.00 00246 0005 00392 -3797.72342 0.10000 1.00000 0 0 0
    0.00 00247 0005 00394 -3811.76258 0.10000 1.00000 0 0 0
    0.00 00248 0005 00404 -3833.84448 0.10000 1.00000 0 0 0
    0.00 00249 0005 00390 -3729.48104 0.10000 1.00000 0 0 0
    0.00 00250 0005 00388 -3774.80439 0.10000 1.00000 0 0 0
    0.00 00251 0006 00361 -3645.21560 0.10000 1.00000 0 0 0
    0.00 00252 0005 00385 -3705.33722 0.10000 1.00000 0 0 0
    0.00 00253 0005 00379 -3689.25643 0.10000 1.00000 0 0 0
    0.00 00254 0005 00380 -3708.75474 0.10000 1.00000 0 0 0
    0.00 00255 0005 00383 -3698.87371 0.10000 1.00000 0 0 0
    0.00 00256 0005 00400 -3784.69995 0.10000 1.00000 0 0 0
    0.00 00257 0005 00388 -3733.97078 0.10000 1.00000 0 0 0
    0.00 00258 0005 00368 -3730.21767 0.10000 1.00000 0 0 0
    0.00 00259 0005 00371 -3724.57556 0.10000 1.00000 0 0 0
    0.00 00260 0005 00385 -3759.50766 0.10000 1.00000 0 0 0
    0.00 00261 0005 00361 -3676.53486 0.10000 1.00000 0 0 0
    0.00 00262 0005 00375 -3723.96970 0.10000 1.00000 0 0 0
    0.00 00263 0005 00372 -3721.55652 0.10000 1.00000 0 0 0
    0.00 00264 0005 00399 -3799.57412 0.10000 1.00000 0 0 0
    0.00 00265 0005 00397 -3729.52811 0.10000 1.00000 0 0 0
    0.00 00266 0005 00375 -3709.28241 0.10000 1.00000 0 0 0
    0.00 00267 0005 00378 -3751.26898 0.10000 1.00000 0 0 0
    0.00 00268 0005 00396 -3808.08869 0.10000 1.00000 0 0 0
    0.00 00269 0006 00399 -3819.49436 0.10000 1.00000 0 0 0
    0.00 00270 0005 00389 -3784.54953 0.10000 1.00000 0 0 0
    0.00 00271 0005 00405 -3827.56642 0.10000 1.00000 0 0 0
    0.00 00272 0005 00393 -3818.81449 0.10000 1.00000 0 0 0
    0.00 00273 0005 00410 -3845.85977 0.10000 1.00000 0 0 0
    0.00 00274 0007 00401 -3864.19589 0.10000 1.00000 0 0 0
    0.00 00275 0006 00381 -3801.55771 0.10000 1.00000 0 0 0
    0.00 00276 0006 00366 -3761.55446 0.10000 1.00000 0 0 0
    0.00 00277 0006 00399 -3752.82385 0.10000 1.00000 0 0 0
    0.00 00278 0006 00374 -3737.79543 0.10000 1.00000 0 0 0
    0.00 00279 0005 00387 -3780.76374 0.10000 1.00000 0 0 0
    0.00 00280 0005 00380 -3754.81477 0.10000 1.00000 0 0 0
    0.00 00281 0005 00376 -3731.27671 0.10000 1.00000 0 0 0
    0.00 00282 0005 00390 -3791.54677 0.10000 1.00000 0 0 0
    0.00 00283 0005 00366 -3721.18964 0.10000 1.00000 0 0 0
    0.00 00284 0005 00382 -3712.34133 0.10000 1.00000 0 0 0
    0.00 00285 0005 00372 -3710.66052 0.10000 1.00000 0 0 0
    0.00 00286 0005 00391 -3726.46033 0.10000 1.00000 0 0 0
    0.00 00287 0005 00380 -3734.74459 0.10000 1.00000 0 0 0
    0.00 00288 0005 00399 -3795.24930 0.10000 1.00000 0 0 0
    0.00 00289 0006 00384 -3760.45692 0.10000 1.00000 0 0 0
    0.00 00290 0005 00375 -3712.48293 0.10000 1.00000 0 0 0
    0.00 00291 0005 00393 -3773.05735 0.10000 1.00000 0 0 0
    0.00 00292 0005 00397 -3816.87821 0.10000 1.00000 0 0 0
    0.00 00293 0005 00383 -3737.76634 0.10000 1.00000 0 0 0
    0.00 00294 0005 00399 -3791.08603 0.10000 1.00000 0 0 0
    0.00 00295 0005 00382 -3756.99558 0.10000 1.00000 0 0 0
    0.00 00296 0005 00376 -3713.22466 0.10000 1.00000 0 0 0
    0.00 00297 0005 00379 -3749.40492 0.10000 1.00000 0 0 0
    0.00 00298 0005 00376 -3730.88987 0.10000 1.00000 0 0 0
    0.00 00299 0005 00392 -3820.05206 0.10000 1.00000 0 0 0
